,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Castro,90,CL,1556902800,100,-42.48,-73.76,48.2,1.12
1,Dalaba,96,GN,1556907470,27,10.69,-12.25,95.38,4.52
2,La Ronge,90,CA,1556902800,55,55.1,-105.3,35.6,8.05
3,Acari,10,BR,1556907471,42,-6.44,-36.64,90.52,14.41
4,Kodiak,90,US,1556907433,93,39.95,-94.76,57.2,8.05
5,Kapaa,75,US,1556907367,83,22.08,-159.32,75.0,4.7
6,Victoria,75,BN,1556904600,94,5.28,115.24,77.0,2.24
7,Provideniya,100,RU,1556907473,93,64.42,-173.23,30.58,6.02
8,Bluff,92,AU,1556907474,80,-23.58,149.07,68.92,4.45
9,Koygorodok,84,RU,1556907474,75,60.44,51.01,50.74,7.43
10,Rwamagana,40,RW,1556906400,77,-1.95,30.43,69.8,3.36
11,Tupaciguara,75,BR,1556902800,69,-18.59,-48.7,77.0,8.05
12,Zarinsk,0,RU,1556907475,43,53.71,84.95,40.3,5.55
13,Busselton,11,AU,1556907435,28,-33.64,115.35,64.0,24.9
14,East London,90,ZA,1556906400,72,-33.02,27.91,64.4,12.75
15,Ada,75,US,1556907381,76,47.3,-96.52,53.01,16.11
16,Hermanus,95,ZA,1556907437,72,-34.42,19.24,61.0,5.99
17,Bredasdorp,53,ZA,1556907437,59,-34.53,20.04,62.6,5.82
18,Mareeba,40,AU,1556907324,88,-16.99,145.42,73.4,8.05
19,New Norfolk,20,AU,1556907194,71,-42.78,147.06,52.0,8.05
20,College,90,US,1556907360,80,64.86,-147.8,36.0,9.17
21,Yellowknife,20,CA,1556907224,45,62.45,-114.38,26.01,9.17
22,Hobart,20,AU,1556907314,71,-42.88,147.33,52.0,8.05
23,Upernavik,0,GL,1556907478,87,72.79,-56.15,31.48,14.34
24,Cidreira,17,BR,1556907478,60,-30.17,-50.22,84.22,3.78
25,Khandyga,100,RU,1556907479,94,62.65,135.58,27.34,4.52
26,Mar del Plata,77,AR,1556907479,44,-46.43,-67.52,45.52,1.34
27,Punta Arenas,0,CL,1556907192,52,-53.16,-70.91,42.8,10.29
